Index,Name,Engine,FuelType,KM,Year,Price,Location
223,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,13695,Carlow
225,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,6350,Limerick
226,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,1750,Kerry
227,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,17995,Dublin
228,"Renault Clio, 2007",1.1,Petrol,201772,2007,22250,Kilkenny
229,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,25490,Galway
230,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,26951,Louth
231,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,18450,Dublin
234,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,10495,Cork
235,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,25995,Cork
238,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,16950,Limerick
239,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,12500,Limerick
240,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,12500,Waterford
241,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,25950,Waterford
242,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,25950,Kerry
243,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,5950,Kerry
246,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,45488,Waterford
247,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,8450,Waterford
250,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,3999,Cork
253,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,10950,Kildare
254,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,10950,Clare
255,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,3250,Clare
256,Renault Laguna 2009,1.9,Diesel,181000,2009,18990,Sligo
257,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,18990,Waterford
258,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,7900,Dublin
262,Renault Clio Dynamique TCE 100 My19 5DR V,1,Petrol,17999,2020,14600,Cork
263,Renault Clio Lovely High Spec Clio,1.1,Petrol,87750,2017,16995,Dublin
264,RENAULT MASTER 2.3 LM35 DCI BUSINESS,2.3,Diesel,91000,2020,20745,Wicklow
265,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,6850,Dublin
267,Renault clio IV Dynamique,1.1,Petrol,106000,2013,13950,Meath
272,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,17995,Limerick
273,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,22250,Kerry
274,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,25490,Dublin
275,"Renault Clio, 2007",1.1,Petrol,201772,2007,26951,Kilkenny
276,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,18450,Galway
277,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,15495,Louth
278,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,20995,Dublin
282,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,16995,Cork
283,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,19999,Cork
286,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,30870,Limerick
287,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,5950,Limerick
288,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,5950,Waterford
289,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,45488,Waterford
290,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,45488,Kerry
291,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,8450,Kerry
294,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,3999,Waterford
298,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,10950,Cork
299,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,3250,Cork
300,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,3250,Kildare
301,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,18990,Kildare
302,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,18990,Clare
303,Renault Laguna 2009,1.9,Diesel,181000,2009,7900,Sligo
304,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,7900,Waterford
305,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,1650,Waterford
306,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,1650,Dublin
307,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,14600,Dublin
313,Renault Clio E-tech HEV 140 My20 Hybrid Available,1.6,Petrol,20,2022,5600,Carlow
314,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,13950,Dublin
316,Renault clio IV Dynamique,1.1,Petrol,106000,2013,10695,Meath
318,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,1750,Carlow
321,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,25490,Limerick
322,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,26951,Kerry
323,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,18450,Dublin
324,"Renault Clio, 2007",1.1,Petrol,201772,2007,15495,Kilkenny
325,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,20995,Galway
326,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,10495,Louth
327,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,25995,Louth
328,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,10495,Dublin
329,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,14950,Dublin
334,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,5950,Cork
335,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,45488,Cork
338,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,8450,Limerick
339,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,3999,Limerick
340,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,3999,Waterford
343,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,10950,Kerry
346,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,3250,Waterford
347,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,18990,Waterford
350,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,7900,Cork
351,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,7900,Kildare
352,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,1650,Kildare
353,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,1650,Clare
354,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,14600,Clare
355,Renault Laguna 2009,1.9,Diesel,181000,2009,14600,Sligo
356,Renault Laguna 2009,1.9,Diesel,181000,2009,16995,Sligo
357,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,16995,Waterford
358,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,20745,Waterford
359,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,20745,Dublin
360,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,6850,Dublin
364,Renault Megane  Dynamique S Nav 2017,1.5,Diesel,146000,2017,13950,Clare
365,Renault Captur TCe 100 Iconic Petrol Only 8890 Kms,1,Petrol,100,2020,13695,Carlow
368,Renault clio IV Dynamique,1.1,Petrol,106000,2013,1750,Meath
371,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,25490,Carlow
374,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,15495,Limerick
375,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,20995,Kerry
376,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,17449,Dublin
377,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,55949,Dublin
378,"Renault Clio, 2007",1.1,Petrol,201772,2007,33949,Kilkenny
379,"Renault Clio, 2007",1.1,Petrol,201772,2007,6300,Kilkenny
380,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,6300,Galway
381,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,1700,Galway
